Training: 2025-04-02 12:40:54,310-Speed 89.32 samples/sec   Loss 25.6448   LearningRate 0.000996   Epoch: 0   Global Step: 1120   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:41:08,840-Speed 88.10 samples/sec   Loss 25.2898   LearningRate 0.000996   Epoch: 0   Global Step: 1130   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:41:23,210-Speed 89.08 samples/sec   Loss 24.9358   LearningRate 0.000996   Epoch: 0   Global Step: 1140   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:41:37,588-Speed 89.03 samples/sec   Loss 25.2096   LearningRate 0.000996   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:41:51,912-Speed 89.36 samples/sec   Loss 24.1232   LearningRate 0.000996   Epoch: 0   Global Step: 1160   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:42:06,399-Speed 88.36 samples/sec   Loss 24.6276   LearningRate 0.000996   Epoch: 0   Global Step: 1170   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:42:20,765-Speed 89.10 samples/sec   Loss 23.8874   LearningRate 0.000996   Epoch: 0   Global Step: 1180   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:42:37,201-Speed 77.88 samples/sec   Loss 24.2439   LearningRate 0.000996   Epoch: 0   Global Step: 1190   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:42:51,613-Speed 88.82 samples/sec   Loss 23.5597   LearningRate 0.000996   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:43:06,048-Speed 88.68 samples/sec   Loss 24.3858   LearningRate 0.000996   Epoch: 0   Global Step: 1210   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:43:20,439-Speed 88.95 samples/sec   Loss 23.4556   LearningRate 0.000996   Epoch: 0   Global Step: 1220   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:43:35,039-Speed 87.68 samples/sec   Loss 23.5778   LearningRate 0.000996   Epoch: 0   Global Step: 1230   Fp16 Grad Scale: 16384   Required: 116 hours
Training: 2025-04-02 12:43:49,464-Speed 88.74 samples/sec   Loss 23.5154   LearningRate 0.000996   Epoch: 0   Global Step: 1240   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:44:03,774-Speed 89.45 samples/sec   Loss 23.3032   LearningRate 0.000996   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:44:18,086-Speed 89.44 samples/sec   Loss 22.9084   LearningRate 0.000996   Epoch: 0   Global Step: 1260   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:44:32,465-Speed 89.03 samples/sec   Loss 22.7356   LearningRate 0.000996   Epoch: 0   Global Step: 1270   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:44:46,845-Speed 89.01 samples/sec   Loss 22.9029   LearningRate 0.000996   Epoch: 0   Global Step: 1280   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:45:01,242-Speed 88.91 samples/sec   Loss 23.4120   LearningRate 0.000995   Epoch: 0   Global Step: 1290   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:45:15,779-Speed 88.05 samples/sec   Loss 22.1759   LearningRate 0.000995   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 8192   Required: 116 hours
Training: 2025-04-02 12:45:30,158-Speed 89.02 samples/sec   Loss 21.7309   LearningRate 0.000995   Epoch: 0   Global Step: 1310   Fp16 Grad Scale: 8192   Required: 116 hours
